real_label,predicted_label,probability_no_goal,probability_goal
False,False,0.9048929238707066,0.09510707612929334
False,False,0.9048631123337197,0.09513688766628023
False,False,0.9067540576549658,0.09324594234503422
False,False,0.9067540576549658,0.09324594234503422
False,False,0.9057644387883821,0.09423556121161787
False,False,0.9041400013894306,0.09585999861056935
False,False,0.9070674854066212,0.09293251459337884
False,False,0.9066546418836433,0.09334535811635672
False,False,0.9061046113498002,0.09389538865019977
False,False,0.9054059266190382,0.09459407338096178
False,False,0.9064049194045156,0.09359508059548438
False,False,0.9056026591947915,0.09439734080520841
False,False,0.9049139162488661,0.0950860837511339
False,False,0.9056640415480679,0.09433595845193207
False,False,0.9042520489755901,0.09574795102440997
False,False,0.9058977037799195,0.09410229622008053
False,False,0.906018776627978,0.09398122337202197
False,False,0.9049652594233825,0.09503474057661751
False,False,0.9069600667901482,0.09303993320985178
False,False,0.906356653799573,0.09364334620042698
False,False,0.9048215487497066,0.09517845125029341
False,False,0.9056497435570537,0.09435025644294626
False,False,0.905397128956346,0.09460287104365395
False,False,0.906826132564504,0.09317386743549606
False,False,0.905781737196834,0.094218262803166
False,False,0.905201708739665,0.09479829126033501
False,False,0.9047393072752982,0.09526069272470185
False,False,0.9061255980570573,0.09387440194294276
False,False,0.9063056344643428,0.0936943655356572
False,False,0.9049506588008034,0.09504934119919664
False,False,0.906279240044171,0.09372075995582899
False,False,0.9046512899498443,0.09534871005015563
False,False,0.9062346332251486,0.09376536677485141
False,False,0.9068462059709539,0.09315379402904611
True,False,0.907076386989755,0.09292361301024497
False,False,0.9057314050495658,0.0942685949504342
False,False,0.9044874317672866,0.09551256823271341
False,False,0.9065154199506593,0.09348458004934074
False,False,0.9061894901385708,0.0938105098614292
True,False,0.9058977037799195,0.09410229622008053
False,False,0.9065017250370139,0.09349827496298616
True,False,0.9058977037799195,0.09410229622008053
False,False,0.9053552786337188,0.09464472136628123
False,False,0.9051090506385492,0.09489094936145086
False,False,0.9048429719092203,0.09515702809077971
False,False,0.9060002387947602,0.09399976120523983
False,False,0.9070091350660769,0.09299086493392304
False,False,0.9056726997252874,0.09432730027471256
False,False,0.9069419472074317,0.09305805279256833
False,False,0.905457095368251,0.09454290463174894
False,False,0.9070228102685158,0.09297718973148418
False,False,0.9052356057483537,0.09476439425164634
False,False,0.9066373538780207,0.09336264612197931
True,False,0.9050656291132795,0.09493437088672046
True,False,0.9068041390216101,0.09319586097838996
False,False,0.9057574702446516,0.09424252975534841
False,False,0.904928967414536,0.095071032585464
False,False,0.9055387291693782,0.09446127083062178
False,False,0.9064837933562251,0.09351620664377486
False,False,0.9063726185451868,0.09362738145481315
