real_label,predicted_label,probability_no_goal,probability_goal
False,False,0.8712606912236424,0.1287393087763576
False,False,0.946621946001825,0.05337805399817497
False,False,0.9054470231839682,0.09455297681603181
False,False,0.8289435810203963,0.17105641897960364
False,False,0.8737887607755704,0.12621123922442956
False,False,0.8857114277712077,0.11428857222879235
False,False,0.9046079665272465,0.0953920334727535
False,False,0.9366564462759571,0.06334355372404292
False,False,0.9128544614617369,0.08714553853826318
False,False,0.9005766156249096,0.09942338437509034
False,False,0.9474830508114722,0.05251694918852783
False,False,0.9636199678898985,0.03638003211010154
False,False,0.9331281463307777,0.06687185366922235
False,False,0.9974132814847104,0.002586718515289619
False,False,0.8413451884672289,0.15865481153277106
False,False,0.8531463207742683,0.1468536792257317
False,False,0.8352441283182854,0.1647558716817146
False,False,0.9108881896943389,0.08911181030566107
False,False,0.9522568090073746,0.04774319099262534
False,False,0.95930737606419,0.040692623935809996
False,False,0.9415698910588829,0.05843010894111716
False,False,0.8589056583983091,0.14109434160169085
False,False,0.9577382156266426,0.042261784373357404
False,False,0.9317920910316215,0.06820790896837853
False,False,0.8845646138016148,0.11543538619838518
False,False,0.858963965391561,0.14103603460843908
False,False,0.9444520620252397,0.055547937974760285
False,False,0.9044700029050816,0.09552999709491834
False,False,0.9308942238820146,0.06910577611798542
False,False,0.9219165845655302,0.07808341543446987
False,False,0.98608905295888,0.013910947041119944
False,False,0.8076596896318085,0.19234031036819155
False,False,0.911704733828073,0.08829526617192696
False,False,0.9479622430998568,0.05203775690014321
True,False,0.9183028107072521,0.08169718929274791
False,False,0.8581400807127052,0.1418599192872948
False,False,0.928473416473741,0.07152658352625893
False,False,0.834994510166093,0.16500548983390695
False,False,0.8261926371184618,0.1738073628815382
True,False,0.8805746062066565,0.11942539379334352
False,False,0.9380960144619123,0.06190398553808772
True,False,0.8207012746636152,0.17929872533638477
False,False,0.9083002575285478,0.09169974247145218
False,False,0.8519429378632204,0.14805706213677958
False,False,0.8250767465738378,0.17492325342616225
False,False,0.8444045038003013,0.15559549619969867
False,False,0.9344349382321876,0.06556506176781239
False,False,0.9561580532136003,0.043841946786399785
False,False,0.8413918722204334,0.15860812777956657
False,False,0.9387594000563592,0.061240599943640874
False,False,0.9180608321068428,0.08193916789315721
False,False,0.9057486536675635,0.09425134633243644
False,False,0.9169417230892243,0.08305827691077573
True,False,0.8252423686483703,0.17475763135162967
True,False,0.9457899524979971,0.05421004750200285
False,False,0.8700152375873458,0.12998476241265428
False,False,0.9164580485852013,0.08354195141479873
False,False,0.9972128147922417,0.0027871852077583264
False,False,0.9593258211012278,0.04067417889877228
False,False,0.9429462774420845,0.05705372255791547
False,False,0.9282949313327471,0.07170506866725292
False,False,0.9544156136466119,0.04558438635338809
False,False,0.9537596342179251,0.04624036578207491
False,False,0.9553476307974489,0.0446523692025511
False,False,0.9025067844805854,0.09749321551941455
True,False,0.9599262113972451,0.04007378860275494
False,False,0.9048997959184817,0.09510020408151826
False,False,0.9087374385540429,0.09126256144595717
True,False,0.8420006662486853,0.15799933375131467
False,False,0.9133173747713998,0.08668262522860011
False,False,0.9066908629005551,0.09330913709944484
False,False,0.8743870305171131,0.12561296948288692
False,False,0.977148980993624,0.022851019006376032
False,False,0.858963965391561,0.14103603460843908
False,False,0.9333008503750132,0.0666991496249868
False,False,0.9584768949952454,0.04152310500475464
False,False,0.9689675461910511,0.03103245380894895
