game_id,season,game_type,game_date,venue,venue_location,away_team_id,away_team_abbrev,away_team_name,home_team_id,home_team_abbrev,home_team_name,event_id,event_idx,sort_order,period_number,period_type,max_regulation_periods,time_in_period,time_remaining,situation_code,is_empty_net,is_goal,type_code,type_desc_key,away_score,home_score,away_sog,home_sog,x_coord,y_coord,zone_code,shot_type,description,event_owner_team_id,details_type_code,scoring_player_total,assist1_player_total,assist2_player_total,goal_distance,goal_angle,goal_side,goal_x_coord,shooting_player_id,shooting_player_name,shooting_player_team_id,shooting_player_position_code,goalie_in_net_id,goalie_in_net_name,goalie_in_net_team_id,goalie_in_net_position_code,scoring_player_id,scoring_player_name,scoring_player_team_id,scoring_player_position_code,assist1_player_id,assist1_player_name,assist1_player_team_id,assist1_player_position_code,assist2_player_id,assist2_player_name,assist2_player_team_id,assist2_player_position_code,time_in_period_seconds,game_seconds,last_event_type,last_x,last_y,time_since_last_event,distance_from_last_event,is_rebound,speed,last_angle,absolute_angle_change,power_play_time_elapsed,shooting_team_skaters,opposing_team_skaters
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,32,41,73,1,REG,3,05:33,14:27,1441,False,True,505,goal,1.0,1.0,,,77.0,-3.0,O,wrist,Nikolaj Ehlers scores a goal,52.0,,27.0,,,12.36931687685298,-14.036243467926457,left,89,,,,,8475831.0,Philipp Grubauer,15.0,G,8477940.0,Nikolaj Ehlers,52.0,L,,,,,,,,,333,333,giveaway,16.0,-30.0,3.0,66.70832032063167,False,22.23610677354389,15.945395900922858,0.0,0,4,4
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,33,43,77,1,REG,3,05:44,14:16,1441,False,False,506,shot-on-goal,,,2.0,8.0,-82.0,35.0,O,wrist,Connor Hellebuyck stops a shot from Jay Beagle,15.0,,,,,35.6931365951495,-78.69006752597979,left,-89,8474291.0,Jay Beagle,15.0,C,8476945.0,Connor Hellebuyck,52.0,G,,,,,,,,,,,,,344,344,faceoff,0.0,0.0,11.0,89.15716460273958,False,8.105196782067235,0.0,0.0,0,4,4
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,35,46,88,1,REG,3,07:01,12:59,1541,False,False,506,shot-on-goal,,,3.0,8.0,55.0,24.0,O,slap,Philipp Grubauer stops a shot from Patrik Laine,52.0,,,,,41.617304093369626,35.21759296819271,right,89,8479339.0,Patrik Laine,52.0,R,8475831.0,Philipp Grubauer,15.0,G,,,,,,,,,,,,,421,421,faceoff,-69.0,22.0,76.0,124.01612798341996,False,1.6317911576765785,-47.72631099390627,0.0,111,4,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,39,53,104,1,REG,3,08:15,11:45,1551,False,False,506,shot-on-goal,,,3.0,9.0,-29.0,-35.0,O,backhand,Connor Hellebuyck stops a shot from Brett Connolly,15.0,,,,,69.46221994724903,30.256437163529277,right,-89,8475792.0,Brett Connolly,15.0,R,8476945.0,Connor Hellebuyck,52.0,G,,,,,,,,,,,,,495,495,hit,32.0,38.0,17.0,95.13148795220224,False,5.5959698795413075,-17.434874694799298,0.0,0,5,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,50,81,161,1,REG,3,13:50,06:10,1551,False,False,506,shot-on-goal,,,4.0,9.0,40.0,7.0,O,slap,Philipp Grubauer stops a shot from Ben Chiarot,52.0,,,,,49.49747468305833,8.13010235415596,right,89,8475279.0,Ben Chiarot,52.0,D,8475831.0,Philipp Grubauer,15.0,G,,,,,,,,,,,,,830,830,faceoff,69.0,22.0,4.0,32.64965543462902,False,8.162413858657255,47.72631099390627,0.0,0,5,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,201,82,162,1,REG,3,14:07,05:53,1551,False,False,506,shot-on-goal,,,5.0,9.0,66.0,1.0,O,wrist,Philipp Grubauer stops a shot from Nikolaj Ehlers,52.0,,,,,23.021728866442675,2.489552921998982,right,89,8477940.0,Nikolaj Ehlers,52.0,L,8475831.0,Philipp Grubauer,15.0,G,,,,,,,,,,,,,847,847,shot-on-goal,40.0,7.0,17.0,26.68332812825267,True,1.5696075369560394,8.13010235415596,10.619655276154942,0,5,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,203,84,165,1,REG,3,14:20,05:40,1551,False,False,506,shot-on-goal,,,5.0,10.0,-78.0,-22.0,O,wrist,Connor Hellebuyck stops a shot from Lars Eller,15.0,,,,,24.596747752497688,63.43494882292202,right,-89,8474189.0,Lars Eller,15.0,C,8476945.0,Connor Hellebuyck,52.0,G,,,,,,,,,,,,,860,860,blocked-shot,54.0,-8.0,5.0,132.74034804836094,True,26.54806960967219,-12.875001559612462,76.30995038253448,0,5,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,210,98,189,1,REG,3,16:23,03:37,1541,False,False,506,shot-on-goal,,,6.0,10.0,89.0,17.0,O,wrist,Philipp Grubauer stops a shot from Joel Armia,52.0,,,,,17.0,90.0,right,89,8476469.0,Joel Armia,52.0,R,8475831.0,Philipp Grubauer,15.0,G,,,,,,,,,,,,,983,983,giveaway,81.0,-36.0,11.0,53.600373133029585,False,4.8727611939117805,11.956584243149111,0.0,99,4,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,215,105,204,1,REG,3,17:45,02:15,1451,False,False,506,shot-on-goal,,,6.0,11.0,-71.0,12.0,O,wrist,Connor Hellebuyck stops a shot from Nicklas Backstrom,15.0,,,,,21.633307652783937,-33.690067525979785,left,-89,8473563.0,Nicklas Backstrom,15.0,C,8476945.0,Connor Hellebuyck,52.0,G,,,,,,,,,,,,,1065,1065,blocked-shot,-67.0,6.0,21.0,7.211102550927978,True,0.34338583575847514,-15.255118703057764,48.945186229037546,46,4,5
2017021065,20172018,2,2018-03-12,Capital One Arena,Washington,52,WPG,Jets,15,WSH,Capitals,216,107,210,1,REG,3,18:24,01:36,1451,False,False,506,shot-on-goal,,,6.0,12.0,-52.0,-21.0,O,slap,Connor Hellebuyck stops a shot from Alex Ovechkin,15.0,,,,,42.5440947723653,29.57783868126134,right,-89,8471214.0,Alex Ovechkin,15.0,L,8476945.0,Connor Hellebuyck,52.0,G,,,,,,,,,,,,,1104,1104,takeaway,-29.0,1.0,15.0,31.827660925679098,False,2.12184406171194,0.48554583000816465,0.0,85,4,5
